userName,score,content,at,sentiment
Rasya RASYA putra.Z,5,thanks sportify because you can make my mod change 😊☺️,2025-05-04 14:52:04,positive
Djunaedi Sobontoro,4,bagus 👍🏻,2025-05-04 14:51:25,positive
M Zuhdy,5,kerennnn mntpppp,2025-05-04 14:47:14,positive
Arya Damar,4,keren,2025-05-04 14:41:20,positive
Viviana,5,sangat menarikkk,2025-05-04 14:36:08,positive
Julio Manek,5,bagus banget,2025-05-04 14:35:01,positive
Dandi s,5,👍,2025-05-04 14:30:26,positive
Jihan Dita0415,5,bagus aja,2025-05-04 14:26:12,positive
Mas Ula,1,tidak sesuai dengan yang di inginkan,2025-05-04 14:19:41,negative
TyBobi,5,I LOVEEE SPOTIFY,2025-05-04 14:13:30,positive
Alya Vivo,5,aku suka lagunya asikkk bangetttt lepyou,2025-05-04 14:04:01,positive
Salsa Bila,5,keren,2025-05-04 13:58:13,positive
Paksurat Paksurat,5,i love spotify,2025-05-04 13:55:35,positive
Cipta Lagu,5,cinta lagu,2025-05-04 13:54:00,positive
Valencia Lim,5,lumayan🫶 buat saya sih 1. lagu lengkap 2.lagu nya full (gk kepotong2) 3.jarang ada iklan tp terkadang suara nya kdg kdg gak ada,2025-05-04 13:53:45,positive
Falah Ganteng,5,sangat menarik,2025-05-04 13:47:52,positive
Alung Dharma wijaya,1,Mantab no debat,2025-05-04 13:47:19,negative
Budi Budi Jogya,5,ok,2025-05-04 13:34:20,positive
Supristiwati Supristiwati,5,sangat memuaskan.,2025-05-04 13:28:36,positive
Danish Husein,1,"loading play lagu sangat sangat lama, dan sekarang terdapat limit penggunaan.",2025-05-04 13:22:50,negative
Yuli Nar,5,Bagus sekaliii!!!,2025-05-04 13:17:21,positive
ALWI SYABAN,5,karena hampir semua lagu ada di sfotify,2025-05-04 13:16:44,positive
Dyoniel Feraril,5,Nih apl mntp lah ada teksnya jadi bisa ikut nyanyi tanpa salah,2025-05-04 13:16:12,positive
Alden Tarigan,5,"Kualitas suara sudah sangat bagus, banyak promo premium dll. Worth dah pokoknya",2025-05-04 13:12:04,positive
Sahid Maulana Febriyanto,5,menyenangkan,2025-05-04 13:03:36,positive
Gabriel,4,"akhirnya bisa dengarkan musik dengan HP yang mati, tapi harus bayar sihh klo itu pun premium",2025-05-04 13:02:24,positive
Saida Ain,5,bagus banget sukaaa sama Spotify,2025-05-04 12:52:35,positive
Pino Kiyo,1,masih ada bak di musik nya habis iklan malah lagu yang lain gak bisa di klik malah balik ke lagi yang udah di klik sebelum iklan,2025-05-04 12:51:13,negative
Hasni Hasni2025,5,bagus cuma terbatas mau buka yang premium tapi tak ada uang,2025-05-04 12:44:47,positive
Salman,5,baik,2025-05-04 12:41:21,positive
Fakhri Aditia,5,apk yg sangat bagus saya menyukai nya,2025-05-04 12:39:57,positive
al ryota,5,bagus,2025-05-04 12:38:42,positive
fifah deli,5,bagus bange',2025-05-04 12:35:22,positive
Piter Garuda wiratama,1,terlalu banyak iklan premium,2025-05-04 12:34:18,negative
Vill,2,kikir nya di kurang kurangi yah,2025-05-04 12:34:13,negative
Raisya Raisya,5,god job spotify🙌,2025-05-04 12:29:20,positive
Yuli Ana,5,Karena bagus,2025-05-04 12:23:54,positive
Natshir Phepoe,5,"aplikasi yg sangat bagus, bisa nikmatin lagu setiap hari... pokoknya aplikasi ini paling bagus dan mantep sih pokoknya🤩👍🏻",2025-05-04 12:23:02,positive
sokhib ashari,5,lagu nya bagus,2025-05-04 12:21:53,positive
Valent Kawaii,2,"bagus, tapi dikit-dikit harus premium",2025-05-04 12:17:16,negative
Indah Pratiwi,1,tiba² bgt nyedot saldo tanpa persetujuan. nyesel pernah make premium,2025-05-04 12:16:34,negative
Oggyhome,5,keren,2025-05-04 12:16:03,positive
Syifa Nareswari,1,apalah iklan mulu + dikit dikit premium,2025-05-04 12:14:23,negative
Putri Azahra,5,"SPOTIFY SELALU ADA DI MANAPUN DAN KAPANPUN,SPOTIFY SELALU BISA BUAT SUASANA KITA APAPUN ITU!!!! YEAYY SUKAAA LOV SPOTIFY",2025-05-04 12:14:11,positive
Fatir Arya,5,bagus,2025-05-04 12:12:45,positive
Yoga Adewardana,1,terlalu maksa untuk pindah ke premium,2025-05-04 12:11:39,negative
itjan junior,5,my subscribe changes suddenly from student to premium duo.,2025-05-04 12:08:31,positive
Carlos Nabot,5,asik,2025-05-04 12:06:10,positive
Fahriza Aulia Rahman,1,bug gak diperbaikin TAPI premium di UP TO DATE???,2025-05-04 12:02:09,negative
Naya Namira,5,berguna bangetttt dan 👍bagusnya,2025-05-04 12:01:53,positive
Edi Firdaus,2,ini kok Spotify aku kok pas dengaren music lalu main game kok malah mati sendiri apa lagi pas mulai game nya selalu mati sendiri ini mohon developer nya di perbaiki : ),2025-05-04 11:51:58,negative
Trisno Trisno,5,bagus,2025-05-04 11:43:09,positive
Riko Purnama,5,luar biasa,2025-05-04 11:42:04,positive
Rahma Navalia,5,Seru,2025-05-04 11:35:39,positive
9.5_Muh Anugrah Halim_13,5,sangat memuaskan tolong diskon nya,2025-05-04 11:25:15,positive
almira plmira,5,"sngt baguss, dan lancar....",2025-05-04 11:20:34,positive
Susi Susi,5,saya sangat suka aplikasi Spotify ini karena kalau saya lagi galau bisa dengerin lagu di sini,2025-05-04 11:20:17,positive
DZAKWANALTHAF RAUDI,5,terimakasih telah sponsor barca,2025-05-04 11:19:38,positive
Dino Andika,2,baguss,2025-05-04 10:52:58,negative
Alesha Boana,5,enakkkk bangetttt,2025-05-04 10:51:11,positive
Budi Stay,4,bagus,2025-05-04 10:47:46,positive
AHMAD 05,1,"banyak iklan,wajib beli premium",2025-05-04 10:38:00,negative
Mubarokah,5,aplikasi ini yang paling terbaik,2025-05-04 10:32:16,positive
fadilah mubarok,1,cuma perkara milih lagu doang harus bayar 🗿,2025-05-04 10:21:07,negative
Eris Nawati,5,Terimakasih untuk aplikasi ini saya memang suka musik saya temukan Spotify .Poko ya keren,2025-05-04 10:20:39,positive
Saskia Kapuas,5,puas,2025-05-04 10:16:32,positive
Fadli Hidayatullah,5,"aplikasi ini bagus banget kalo buat dengerin musik,apalagi hmpir semua lagu yang gua cari ada semua di aplikasi ini,pokok ny the best deh aplikasi ny",2025-05-04 10:10:33,positive
randi putri,5,aku suka soalnya di SPOTIFY ini ada lagu kesukaan ku jadi kalian langsung aj downlod 👦👔👑👍💋,2025-05-04 10:06:22,positive
syahrul bayu,5,"Suka meskipun masih ada lagu yg belum bisa di dpt, Di maklumin lah Krn yg di pake gratisan, smoga gratisan nya ga di ubah aja jadi berbayar hehe",2025-05-04 10:05:37,positive
eny yuliana,5,dengerin musik yg asik ya spotify,2025-05-04 10:00:03,positive
yanti rita,5,aplikasinya bagus. good good good,2025-05-04 09:54:44,positive
Sovi Dwi damayanti,5,👍👍👍,2025-05-04 09:52:01,positive
Zulfi Rpp,5,good aplication,2025-05-04 09:48:43,positive
Setiawan Susantoso Situmorang,5,Good,2025-05-04 09:48:08,positive
Rappang 123,5,ok,2025-05-04 09:36:05,positive
ZhanXD,5,ini aplikasi bagus buat tidur dan lain lainnya tapi tolong kurangi iklannya karena setiap selesai lagunya iklan langsung,2025-05-04 09:29:56,positive
Daania Prasetyo,4,"suka banget dengerin lagu lewat aplikasi ini. sayang banget, dikit’ harus premium. yang kurang masuk akal menurut saya itu kalau mau pilih lagu pasti harus jelajahi premium, apalagi suka ke putar luar playlist. untuk rekomendasi gapapa, tapi kalau mau pilih lagu lain, habis itu disuruh buat beli premium kan agak gimana yaa.. tapi sejauh ini aplikasinya bagus, banyak lagu-lagunya. tapi tolong di benerin ya. kasian aku kalau mau galau ehehe 🙈🙈🙈 bintang 4 deh",2025-05-04 09:29:48,positive
mebi sandi,5,dengerin lagu slalu guna spotify.. kualitas suara ok... komplit dan ga pernah ngecewain,2025-05-04 09:25:26,positive
Sudar Dar,5,bagus,2025-05-04 09:02:37,positive
Khumairo Emeliana p,5,"bagus pollll, jadi bikin semangatt kalau lgi kerjain tugass",2025-05-04 08:58:52,positive
Coc 017,5,Ok,2025-05-04 08:46:02,positive
Muthi'ah Addiina Fasha,5,woy alig dah bayar 4 bulan malah cuman bisa dipake seminggu kau kira 54 ribu cem daun apa? gimana dong duit jajan itu woy mau misuh entar di blok tolong ya cepat diperbaiki gak mau tau aku,2025-05-04 08:42:02,positive
Dyah Prita,5,lagunya lengkap,2025-05-04 08:31:16,positive
Rifki,2,katanya g ada iklannya kok masih ada sih,2025-05-04 08:18:29,negative
Arkanadarendra Daren,5,Saya sangat suka dengan aplikasi ini kedepan nya tolong di updet ya makasih,2025-05-04 08:14:22,positive
Benedictus Yosep padji,5,nih sangat bagus banget,2025-05-04 08:14:08,positive
Mu'sodah,4,di aku gk bisa di ulang lagi,2025-05-04 08:13:42,positive
Zulyandri Pku,5,"musik nya bagus 2 lengkap apa yg mau di play menurut selera musik masing 2 demikianlah informasi saya presentasi kan dan dalam tempo yg bersinergi ,",2025-05-04 08:13:05,positive
subhana beno,5,Harusnya bisa download tanpa harus berbayar,2025-05-04 08:12:36,positive
Febian prasetyo,5,👍👍👍👍👍,2025-05-04 08:10:32,positive
Azka Motor,3,"lansung uninstal,kecewa,mau memutar lagu harus beli",2025-05-04 08:09:05,neutral
devi eko,5,"gas, galau",2025-05-04 08:01:00,positive
ryok1ng 666,1,semua nya berbayar yang gratis hanya sedikit,2025-05-04 07:58:02,negative
Reza Za,5,gak jelek,2025-05-04 07:49:51,positive
Toko Kita 1,4,aplikasi nya bagus tetapi lirik lagu nya kosong atau tidak terlihat padahal dulu lirik lagu nya terlihat. sudah saya update tapi lirik nya tetap saja tidak ada 😢,2025-05-04 07:48:32,positive
